Black Body Radiation Experiment Wed, Jan 21, 2026 9:40 AM
Sensor Position (Degrees)	Light Intensity (Volts)
55.50894	0.01841
55.55027	0.01925
55.67427	0.01873
55.74660	0.01907
55.77760	0.01850
55.87060	0.01874
55.95326	0.01816
55.98426	0.01908
56.10826	0.01852
56.19092	0.01943
56.23225	0.01885
56.37692	0.01941
56.48025	0.01928
56.53191	0.01974
56.70757	0.02029
56.84190	0.02049
56.91423	0.02010
57.10023	0.01972
57.24489	0.01972
57.30689	0.02011
57.53421	0.02001
57.70987	0.01944
57.78220	0.01785
57.97853	0.01722
58.12319	0.01690
58.16453	0.01821
58.28852	0.01945
58.36085	0.01925
58.39185	0.01905
58.47452	0.01907
58.52618	0.01997
58.56751	0.02016
58.68118	0.02124
58.78451	0.02105
58.84651	0.02042
59.03250	0.02028
59.16683	0.01990
59.24949	0.01984
59.47682	0.01855
59.63181	0.01748
59.69381	0.01672
59.90047	0.01654
60.03480	0.01689
60.09680	0.01701
60.28279	0.01770
60.40679	0.01851
60.46879	0.01892
60.64445	0.01915
60.73745	0.01923
60.79944	0.01914
60.98544	0.01900
61.13010	0.01874
61.19210	0.01939
61.40909	0.02038
61.56409	0.02049
61.63642	0.01996
61.88441	0.02052
62.02907	0.02124
62.10140	0.02014
62.28740	0.01959
62.43206	0.01925
62.49406	0.01873
62.66972	0.01879
62.77305	0.01852
62.82471	0.01988
62.96938	0.02115
63.07271	0.02141
63.11404	0.02233
63.24837	0.02335
63.36203	0.02280
63.41370	0.02182
63.57902	0.02070
63.68235	0.01988
63.72369	0.01957
63.80635	0.01907
63.84768	0.01889
63.85802	0.01844
63.87868	0.01925
63.87868	0.01950
63.87868	0.01964
63.88902	0.01968
63.92001	0.01947
63.96135	0.02032
63.98201	0.02036
64.07501	0.02043
64.15767	0.02111
64.19901	0.02056
64.34367	0.02133
64.49866	0.02082
64.56066	0.02180
64.77765	0.02170
64.91198	0.02139
64.96365	0.02196
65.12898	0.02227
65.24264	0.02210
65.29430	0.02205
65.43897	0.02180
65.56296	0.02186
65.60430	0.02175
65.79029	0.02195
65.91429	0.02201
65.96595	0.02236
66.13128	0.02263
66.23461	0.02311
66.28627	0.02358
66.45160	0.02335
66.54460	0.02407
66.58593	0.02504
66.75126	0.02542
66.89592	0.02628
66.95792	0.02685
67.19558	0.02634
67.35057	0.02657
67.42291	0.02551
67.61923	0.02509
67.75356	0.02430
67.82589	0.02378
68.03255	0.02353
68.14622	0.02482
68.19788	0.02489
68.38388	0.02598
68.51820	0.02654
68.60087	0.02699
68.85919	0.02600
69.07619	0.02609
69.16918	0.02501
69.47917	0.02554
69.69617	0.02587
69.79950	0.02613
70.06816	0.02650
70.26448	0.02754
70.35748	0.02733
70.63647	0.02765
70.77080	0.02708
70.82247	0.02662
70.98779	0.02576
71.08079	0.02501
71.12212	0.02443
71.26679	0.02484
71.37012	0.02427
71.41145	0.02381
71.58711	0.02372
71.71111	0.02377
71.79377	0.02351
72.05209	0.02405
72.24842	0.02419
72.33109	0.02470
72.54808	0.02636
72.66174	0.02655
72.71341	0.02772
72.81674	0.02815
72.86840	0.02760
72.87874	0.02785
72.94073	0.02737
72.98207	0.02689
73.02340	0.02658
73.24039	0.02637
73.52972	0.02688
73.67438	0.02749
74.22203	0.02862
74.55268	0.02878
74.71801	0.02987
75.18300	0.02988
75.43099	0.02913
75.54465	0.02905
75.76165	0.02848
75.82364	0.02718
75.84431	0.02585
75.89598	0.00052
75.93731	-0.00808
76.78837    0.01765
76.87104    0.09318
76.97437    0.18071
77.04670    0.26870
77.28436    0.34736
77.54268    0.40509
77.70801    0.43726
78.23500    0.44126
78.41066    0.41131
78.54557    0.34797
78.63798    0.25243
78.64832    0.18041
78.66898    0.13756
78.75165    0.12402
78.81364    0.10562
78.86531    0.09314
79.04097    0.08426
79.23354	0.05385
79.39887	0.04949
79.83285	0.04725
80.12218	0.04418
80.24617	0.04262
80.56650	0.04113
80.75249	0.03918
80.82482	0.03824
80.96948	0.03718
81.02115	0.03545
81.04182	0.03453
81.10381	0.03369
81.15548	0.03341
81.19681	0.03354
81.36214	0.03398
81.59980	0.03276
81.73413	0.03298
82.06478	0.03152
82.29211	0.03060
82.38511	0.02908
82.62277	0.02828
82.74676	0.02787
82.79843	0.02827
82.91209	0.02916
82.95342	0.02942
82.96376	0.03040
82.97409	0.03014
82.97409	0.02976
82.98442	0.02959
83.06709	0.02925
83.18075	0.02809
83.28408	0.02748
83.71807	0.02804
84.06939	0.02797
84.24505	0.02872
84.63770	0.02904
84.93736	0.02866
85.06136	0.02760
85.37135	0.02701
85.48501	0.02758
85.52634	0.02738
85.55734	0.02708
85.55734	0.02666
85.55734	0.02790
85.62967	0.02824
85.73300	0.02827
85.84667	0.02926
85.91900	0.02961
86.18766	0.02989
86.38398	0.02942
86.49765	0.03054
86.85930	0.03146
87.12796	0.03110
87.27262	0.03163
87.75827	0.03176
88.05793	0.03210
88.21293	0.03102
88.51258	0.03070
